Close_nvidia,Volume_nvidia,Close_bitcoin,Volume_bitcoin
163.23,11136038,11182.806641,39977475223.0
164.23,9941659,12407.332031,35087757766.0
166.17,17788327,10583.134766,29378589324.0
162.23,10005688,10801.677734,31015895223.0
162.75,6165856,11961.269531,30796494294.0
160.23,9913847,10978.459961,23838480210.0
157.21,8244669,12285.958008,23482551458.0
157.31,8571512,12573.8125,28167921523.0
160.06,11301899,12156.512695,33627574244.0
166.28,17063964,11358.662109,28595327690.0
167.61,12659816,11815.986328,23534692797.0
167.27,7245993,10895.089844,25384047207.0
167.08,8536098,9477.641602,24151199070.0
169.71,8705107,9693.802734,24569921549.0
170.18,11079474,10666.482422,25187024648.0
168.44,8622395,10530.732422,20727426310.0
171.32,7898498,10343.106445,16334414913.0
175.66,10704414,9900.767578,17851916995.0
178.66,9155937,9811.925781,17398734322.0
173.38,9817453,9911.841797,15821952090.0
175.07,6853997,9870.303711,14495714483.0
174.82,6204049,9519.145508,13791445323.0
175.45,4944261,9607.423828,13829811132.0
168.72,8985391,10085.62793,16631520648.0
164.92,10530314,10399.668945,17165337858.0
161.19,10708732,10518.174805,17489094082.0
150.79,14728936,11805.65332,23875988832.0
152.35,9031767,11478.168945,23635107660.0
153.89,9314045,11941.96875,22194988641.0
158.26,7732472,11966.407227,19481591730.0
154.18,8545418,11862.936523,18339989960.0
151.45,6980012,11382.616211,13647198229.0
156.05,9012811,10895.830078,16681503537.0
150.07,10497033,10051.704102,19990838300.0
148.77,13861551,10311.545898,22899115082.0
159.56,25384628,10374.338867,20228207096.0
170.78,20408061,10916.053711,16038264603.0
167.87,11588040,10763.232422,15053082175.0
171.23,10697773,10138.049805,19473084768.0
171.48,7593918,10131.055664,17097508856.0
162.44,14237433,10407.964844,15627023886.0
165.45,7964854,10370.820313,18438654080.0
161.8,7288739,10185.5,14762609503.0
161.22,6376719,9754.422852,17603790323.0
167.0,8959326,9510.200195,17045878501.0
167.51,7272712,9598.173828,13595263986.0
164.17,7412770,10623.540039,19384917989.0
168.76,5703009,10594.493164,16742664769.0
179.74,17412125,10575.533203,14551239508.0
178.65,9424419,10353.302734,19536574783.0
180.5,10438133,10334.974609,17595943368.0
183.18,8820305,10115.975586,14906809639.0
184.33,9037782,10178.37207,15428063426.0
184.27,8196025,10410.126953,15323563925.0
